well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,1.0,0.0,0.0,0.0,50.67,-59.28,-41.25,86.95541065718501
2,0.0,1.0,0.0,0.0,97.45,-81.0,-66.22,115.5152495825174
3,0.0,0.05,0.95,0.0,69.05,-30.1,-10.33,106.78483236991573
4,0.5,0.5,0.0,0.0,67.52,-106.14,-68.33,92.16722074908569
5,0.45,0.0,0.55,0.0,52.25,-110.38,-104.99,119.2928282524411
6,0.8,0.1,0.1,0.0,83.2,63.27,-8.34,197.58665613216843
7,0.1,0.05,0.85,0.0,86.73,-56.78,-107.18,149.48693974812463
8,0.15,0.05,0.8,0.0,14.92,-1.83,-50.55,135.79419482185105
9,1.0,0.0,0.0,0.0,71.83,-24.15,-86.44,147.06228479165173
10,1.0,0.0,0.0,0.0,21.03,65.83,-36.76,194.88210310236138
11,1.0,0.0,0.0,0.0,38.71,64.25,93.2,206.32142453308936
12,0.8,0.1,0.1,0.0,55.36,-9.3,91.7,144.81820553936507
13,0.8,0.1,0.1,0.0,82.37,-109.12,-46.23,83.95382209967174
14,0.8,0.1,0.1,0.0,42.04,40.64,33.04,167.12623738983518
15,1.0,0.0,0.0,0.0,3.69,70.97,-82.04,215.6159763015203
16,0.8,0.1,0.1,0.0,40.29,82.52,-16.05,208.4556765089421
17,0.9,0.05,0.05,0.0,54.25,-124.1,-17.79,42.83095730343083
18,1.0,0.0,0.0,0.0,23.1,-89.31,-32.4,54.06260642448946
19,1.0,0.0,0.0,0.0,63.36,-36.19,12.76,97.00922838703556
20,1.0,0.0,0.0,0.0,78.23,45.99,102.62,201.6362829753238
21,1.0,0.0,0.0,0.0,90.69,12.3,20.58,152.94395035607576
22,1.0,0.0,0.0,0.0,47.8,-42.96,-107.75,144.66076594215252
23,0.8,0.1,0.1,0.0,29.38,-112.35,-49.47,60.51937933651811
Target,,,,,21.203007575224607,-123.49330328452787,9.443898064379624,
