group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,225.123,6.987,1.716,6.982,4.069,0.77,3.1,6,36
1,RGB,G,133.593,8.961,1.163,9.503,8.171,0.93,7.11,6,36
1,RGB,B,29.03,17.044,1.924,18.229,9.476,13.08,62.79,6,36
1,LAB,L,64.324,2.227,0.039,2.405,61.619,0.06,3.74,6,36
1,LAB,A,28.245,4.816,0.568,5.141,9.044,2.13,18.2,6,36
1,LAB,B,63.804,4.747,0.279,5.116,18.35,0.46,8.02,6,36
1,HSV,H,32.166,1.36,0.314,1.407,4.475,0.96,4.38,6,36
1,HSV,S,87.135,7.959,0.303,8.588,28.299,0.37,9.86,6,36
1,HSV,V,88.235,2.813,0.266,3.002,11.284,0.3,3.4,6,36
2,RGB,R,217.079,8.3,0.84,8.879,10.564,0.39,4.09,6,36
2,RGB,G,184.551,12.723,0.399,13.736,34.395,0.22,7.44,6,36
2,RGB,B,10.294,14.652,1.021,15.745,15.418,36.65,152.95,6,36
2,LAB,L,75.778,2.968,0.093,3.203,34.563,0.12,4.23,6,36
2,LAB,A,-2.244,8.641,0.259,9.329,35.963,0.71,-415.66,6,36
2,LAB,B,76.111,0.859,0.11,0.915,8.288,0.15,1.2,6,36
2,HSV,H,50.668,4.553,0.145,4.915,33.806,0.3,9.7,6,36
2,HSV,S,95.138,7.003,0.145,7.56,52.244,0.17,7.95,6,36
2,HSV,V,85.235,3.137,0.133,3.385,25.481,0.16,3.97,6,36
3,RGB,R,43.297,6.71,1.652,6.897,4.174,3.72,15.93,6,36
3,RGB,G,159.539,4.378,0.389,4.705,12.107,0.24,2.95,6,36
3,RGB,B,60.166,8.137,1.149,8.684,7.559,2.02,14.43,6,36
3,LAB,L,57.934,1.512,0.077,1.631,21.31,0.13,2.82,6,36
3,LAB,A,-52.231,0.885,0.158,0.941,5.973,-0.3,-1.8,6,36
3,LAB,B,41.76,3.921,0.225,4.228,18.798,0.55,10.13,6,36
3,HSV,H,128.276,6.277,0.266,6.774,25.455,0.21,5.28,6,36
3,HSV,S,72.819,3.922,0.2,4.231,21.16,0.28,5.81,6,36
3,HSV,V,62.584,1.673,0.072,1.805,25.141,0.11,2.88,6,36
4,RGB,R,150.913,12.834,1.237,13.755,11.117,0.81,9.11,6,36
4,RGB,G,133.752,5.047,0.418,5.427,12.982,0.31,4.06,6,36
4,RGB,B,0.423,0.172,0.053,0.177,3.335,13.58,41.91,6,36
4,LAB,L,55.659,2.605,0.048,2.813,58.039,0.09,5.05,6,36
4,LAB,A,-5.657,3.525,0.244,3.798,15.538,11.6,-67.14,6,36
4,LAB,B,60.208,2.379,0.038,2.569,66.945,0.06,4.27,6,36
4,HSV,H,53.834,2.59,0.167,2.793,16.758,0.31,5.19,6,36
4,HSV,S,99.702,0.142,0.04,0.146,3.612,0.04,0.15,6,36
4,HSV,V,58.969,4.973,0.123,5.369,43.678,0.21,9.11,6,36
