well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,37.01,75.6,-53.46,216.4704371127527
2,0.5,0.25,0.25,0.0,61.06,55.01,27.76,171.40287550176964
3,0.5,0.2,0.3,0.0,56.11,60.46,19.47,178.21615108697966
4,0.1,0.1,0.8,0.0,41.91,69.44,-74.77,220.23888924007235
5,0.3,0.05,0.65,0.0,37.54,74.5,-44.89,211.86269402307965
6,0.55,0.3,0.15,0.0,63.75,53.51,49.66,169.57145275861154
7,0.5,0.15,0.35,0.0,50.29,67.25,9.54,187.14744406191676
8,0.45,0.25,0.3,0.0,60.4,51.75,22.06,168.74703812035426
9,0.4,0.35,0.25,0.0,62.6,45.43,35.49,161.38781932557836
10,0.6,0.35,0.05,0.0,68.28,46.75,66.75,164.4007928279781
11,0.5,0.2,0.3,0.0,54.33,59.54,22.43,177.30651260617543
12,0.35,0.45,0.2,0.0,66.61,33.53,45.09,149.17774694182071
13,0.65,0.35,0.0,0.0,67.24,42.0,77.25,162.01467992823186
14,0.35,0.3,0.35,0.0,63.33,51.38,14.54,168.90841891138055
15,0.3,0.55,0.15,0.0,74.07,27.9,58.41,144.07998342433515
16,0.35,0.45,0.2,0.0,69.21,34.86,48.39,150.39330847158504
17,0.3,0.5,0.2,0.0,70.8,29.05,46.3,144.34636342822904
18,0.3,0.65,0.05,0.0,80.42,12.41,77.25,132.64464681453472
19,0.25,0.55,0.2,0.0,66.58,24.23,48.67,140.16507672728883
20,0.3,0.45,0.25,0.0,63.87,35.48,36.83,151.33775205177318
21,0.3,0.7,0.0,0.0,83.83,7.34,89.17,131.8281980146261
22,0.25,0.5,0.25,0.0,65.58,28.32,39.36,143.99794590336103
23,0.3,0.65,0.05,0.0,79.08,15.34,79.63,136.19136886088583
Target,,,,,84.07913465148278,-114.4846536355034,38.7977203021789,
