well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.8,0.05,0.15,0.0,5.97,51.21,22.65,3.5049101310811057
2,0.15,0.4,0.45,0.0,232.26,17.44,69.09,13.630761389869104
3,0.0,0.5,0.5,0.0,139.22,93.67,13.75,5.4389228442927715
4,0.65,0.35,0.0,0.0,122.78,11.35,92.47,17.84706767814336
5,0.0,0.8,0.2,0.0,315.84,25.79,66.0,11.991195614461652
6,0.7,0.0,0.3,0.0,294.2,55.52,52.97,6.36468414587626
7,0.95,0.0,0.05,0.0,87.07,9.31,89.72,17.700647337287595
8,0.0,0.05,0.95,0.0,324.15,63.31,33.9,2.2794771853024445
9,0.0,0.15,0.85,0.0,125.72,72.6,89.71,13.182985590385643
10,0.05,0.0,0.95,0.0,319.35,77.99,64.2,8.282835482185288
11,0.75,0.1,0.15,0.0,30.29,16.16,89.86,16.841728836164414
12,0.05,0.05,0.9,0.0,218.31,0.92,10.15,13.791365368077429
13,0.7,0.05,0.25,0.0,238.86,0.51,16.08,13.686333651418494
14,0.85,0.05,0.1,0.0,197.54,69.19,65.2,8.252831028158125
15,0.8,0.0,0.2,0.0,80.74,71.22,23.72,0.6904222218860612
16,0.65,0.0,0.35,0.0,117.14,74.65,64.96,8.302501235172567
17,0.0,0.6,0.4,0.0,305.72,65.76,56.83,6.609281751243696
18,0.45,0.0,0.55,0.0,33.72,36.77,26.52,6.38929171888155
19,0.3,0.7,0.0,0.0,87.84,97.3,39.31,6.544214107176918
20,0.4,0.4,0.2,0.0,321.14,63.11,79.48,11.16689302875154
21,0.4,0.15,0.45,0.0,180.95,57.69,49.25,5.504309856445973
22,0.5,0.05,0.45,0.0,70.29,72.25,28.08,1.207261777788786
23,0.25,0.6,0.15,0.0,8.75,64.55,17.71,1.5695049859466392
Target,,,,,206.48217456179904,68.48308081101248,23.938287272475133,
