group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,109.257,69.905,68.513,27.302,0.398,6,36
1,RGB,G,128.027,71.72,69.755,30.15,0.432,6,36
1,RGB,B,116.606,76.058,77.911,25.686,0.33,6,36
1,LAB,L,53.166,27.894,28.841,8.083,0.28,6,36
1,LAB,A,-3.587,72.894,73.556,25.887,0.352,6,36
1,LAB,B,-8.423,68.901,61.346,39.585,0.645,6,36
1,HSV,H,160.149,99.971,97.806,42.987,0.44,6,36
1,HSV,S,54.596,28.953,29.469,6.361,0.216,6,36
1,HSV,V,43.213,28.989,29.857,8.875,0.297,6,36
2,RGB,R,111.871,71.0,66.017,32.9,0.498,6,36
2,RGB,G,119.163,74.558,65.575,41.453,0.632,6,36
2,RGB,B,138.562,71.609,70.575,30.652,0.434,6,36
2,LAB,L,55.604,25.788,25.712,10.383,0.404,6,36
2,LAB,A,0.438,73.196,69.927,36.299,0.519,6,36
2,LAB,B,5.015,72.867,70.397,31.482,0.447,6,36
2,HSV,H,152.334,91.665,87.388,43.56,0.498,6,36
2,HSV,S,46.431,28.473,28.874,8.728,0.302,6,36
2,HSV,V,60.584,28.006,25.743,15.247,0.592,6,36
3,RGB,R,100.352,74.206,56.976,52.597,0.923,6,36
3,RGB,G,151.851,67.915,69.688,21.849,0.314,6,36
3,RGB,B,120.805,77.679,74.485,35.686,0.479,6,36
3,LAB,L,50.162,32.689,33.368,10.883,0.326,6,36
3,LAB,A,33.093,57.38,58.673,5.494,0.094,6,36
3,LAB,B,-1.274,72.746,75.719,19.496,0.257,6,36
3,HSV,H,162.664,102.877,100.329,42.851,0.427,6,36
3,HSV,S,51.176,27.545,26.436,12.827,0.485,6,36
3,HSV,V,52.908,26.662,21.971,17.779,0.809,6,36
4,RGB,R,124.212,69.25,69.204,18.113,0.262,6,36
4,RGB,G,125.256,76.438,73.458,35.876,0.488,6,36
4,RGB,B,112.057,73.431,69.628,32.874,0.472,6,36
4,LAB,L,47.892,32.425,28.397,18.07,0.636,6,36
4,LAB,A,-7.292,80.534,78.875,33.766,0.428,6,36
4,LAB,B,23.595,60.363,62.033,9.575,0.154,6,36
4,HSV,H,172.152,113.922,105.878,54.984,0.519,6,36
4,HSV,S,51.462,29.463,29.577,11.361,0.384,6,36
4,HSV,V,51.93,28.062,29.151,6.674,0.229,6,36
