well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,172.38,4.259,152.36,2.095,73.989,7.044,63.377,0.116,-3.336,1.948,43.919,2.326,49.363,0.236,57.823,1.299,66.976,0.131
1,1,6,193.655,0.153,121.312,0.143,12.636,0.422,57.316,0.04,21.236,0.159,61.279,0.051,35.764,0.102,93.394,0.175,75.983,0.086
2,1,6,179.47,3.356,122.574,1.497,7.89,0.617,55.86,0.082,13.207,0.345,60.428,0.075,40.562,0.141,95.328,0.093,69.813,0.097
3,1,6,177.692,0.282,122.068,0.182,9.53,0.504,55.59,0.047,13.762,0.264,59.915,0.071,40.056,0.161,94.761,0.115,69.77,0.225
4,1,6,167.846,1.3,122.089,0.471,15.65,0.537,54.372,0.04,9.556,0.177,57.191,0.077,41.339,0.173,90.438,0.127,66.007,0.112
5,1,6,182.599,0.323,134.358,0.227,29.066,0.795,59.223,0.034,9.456,0.27,58.399,0.04,41.009,0.187,84.284,0.304,71.498,0.084
6,2,6,246.844,0.186,57.807,0.179,3.999,0.493,54.887,0.045,68.7,0.07,66.018,0.136,13.392,0.123,98.548,0.091,96.767,0.078
7,2,6,241.386,2.135,62.174,1.702,10.518,0.265,54.222,0.02,65.318,0.124,63.521,0.087,13.576,0.069,95.446,0.204,94.322,0.089
8,2,6,239.984,5.249,46.845,4.198,7.276,1.315,52.714,0.349,70.312,1.16,63.453,0.437,9.943,0.12,96.892,0.218,94.952,0.077
9,2,6,254.688,0.048,56.876,0.326,19.627,2.083,56.355,0.017,71.339,0.07,64.108,0.218,9.994,0.112,92.644,0.275,99.869,0.018
10,2,6,253.866,0.133,49.998,0.376,3.145,1.722,55.496,0.013,72.832,0.143,67.107,0.077,11.365,0.157,99.089,0.22,99.548,0.025
11,2,6,254.553,0.048,46.981,0.236,5.358,0.334,55.387,0.016,73.878,0.064,66.767,0.079,10.298,0.225,98.217,0.325,99.816,0.01
12,3,6,173.134,0.535,185.111,0.195,10.684,0.448,72.058,0.04,-21.678,0.316,71.975,0.095,63.208,0.447,94.18,0.07,72.394,0.163
13,3,6,198.71,4.206,195.913,1.19,16.933,2.186,77.154,0.079,-15.65,0.66,76.233,0.136,58.06,0.08,91.822,0.256,78.661,0.038
14,3,6,197.0,0.147,192.978,0.333,15.591,0.801,76.1,0.044,-15.525,0.095,75.26,0.079,58.746,0.17,92.088,0.381,77.2,0.075
15,3,6,200.538,0.438,192.983,0.439,9.106,2.63,76.479,0.035,-14.485,0.151,76.488,0.063,57.985,0.063,96.033,0.226,78.487,0.116
16,3,6,171.53,3.327,229.921,0.975,65.702,2.612,84.9,0.051,-40.862,0.25,69.532,0.23,81.376,0.403,70.745,0.366,90.118,0.13
17,3,6,209.345,1.199,240.172,0.532,162.682,1.361,91.13,0.092,-22.705,0.723,34.457,0.262,83.444,1.04,32.553,0.094,94.152,0.187
18,4,6,88.425,0.743,243.486,0.169,254.134,0.137,88.801,0.044,-37.04,0.156,-17.11,0.134,183.786,0.116,65.22,0.19,99.646,0.064
19,4,6,53.676,2.151,246.086,0.713,253.358,0.683,88.948,0.044,-42.553,0.207,-16.452,0.194,182.116,0.101,79.152,0.09,99.316,0.084
20,4,6,56.832,2.043,226.298,0.196,241.675,0.875,82.874,0.042,-36.405,0.13,-19.401,0.105,185.002,0.192,76.103,0.167,94.618,0.096
21,4,6,77.122,1.39,235.924,0.116,243.915,1.039,86.141,0.037,-37.711,0.208,-15.792,0.229,182.808,0.283,67.91,0.181,95.519,0.192
22,4,6,226.863,2.502,236.191,0.469,238.531,0.852,92.913,0.043,-3.242,0.332,-2.368,0.324,190.557,0.978,5.668,0.589,93.658,0.145
23,4,6,228.314,0.123,237.268,0.122,239.99,0.237,93.298,0.036,-2.506,0.177,-2.069,0.105,192.942,1.597,4.941,0.047,94.064,0.107
