well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.05,0.1,0.3,0.55,185.42,99.88,87.62,4.602304090309016
2,0.75,0.2,0.05,0.0,341.65,62.44,76.16,7.06034253183148
3,0.2,0.2,0.05,0.55,108.0,9.41,79.51,17.521876005929116
4,0.1,0.2,0.5,0.2,187.75,99.83,83.93,3.876221500019306
5,0.1,0.5,0.05,0.35,77.54,49.97,85.56,10.051478981709234
6,0.05,0.15,0.4,0.4,186.11,99.79,83.59,3.8071516339093283
7,0.15,0.2,0.55,0.1,190.11,99.97,87.18,4.517683852612689
8,0.0,0.0,0.3,0.7,187.79,99.84,99.87,7.025401655664269
9,0.0,0.5,0.4,0.1,157.77,99.86,80.03,3.117197469370132
10,0.1,0.0,0.6,0.3,198.0,99.94,94.96,6.053433159622321
11,0.95,0.0,0.05,0.0,314.75,61.97,87.47,8.139159428464346
12,0.05,0.6,0.35,0.0,156.88,99.85,84.19,3.9258069842011443
13,0.0,0.4,0.3,0.3,163.96,99.76,89.28,4.923814817470078
14,0.0,0.4,0.6,0.0,173.99,99.97,72.96,1.8008109220127546
15,0.05,0.4,0.55,0.0,176.83,99.94,78.88,2.900564923663471
16,0.0,0.05,0.95,0.0,197.11,99.92,99.93,7.039497706614937
17,0.6,0.0,0.4,0.0,207.58,99.81,86.77,4.4325634579941795
18,0.45,0.0,0.55,0.0,203.01,99.82,97.22,6.4994268002336355
19,0.6,0.0,0.0,0.4,317.44,26.71,99.9,15.490162486395702
20,0.0,0.45,0.55,0.0,168.16,99.91,73.96,1.9763653293247618
21,0.05,0.95,0.0,0.0,60.97,73.72,88.62,6.479660659194511
22,0.0,0.3,0.7,0.0,184.33,99.77,77.5,2.6277427886276845
23,0.35,0.0,0.35,0.3,193.03,99.79,96.14,6.2846467286626275
Target,,,,,168.3154754638672,95.80108642578125,64.97875213623047,
