well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.05,0.1,0.3,0.55,70.7,-32.39,-20.98,28.366461753695425
2,0.75,0.2,0.05,0.0,47.18,62.7,15.17,104.8843941804169
3,0.2,0.2,0.05,0.55,75.83,-2.33,14.1,43.35129373888593
4,0.1,0.2,0.5,0.2,66.96,-27.61,-25.16,32.5064574873794
5,0.1,0.5,0.05,0.35,82.04,-24.71,45.96,50.96048765718461
6,0.0,0.0,0.65,0.35,70.16,-13.11,-46.76,58.43205316548657
7,0.0,0.0,0.05,0.95,94.04,-16.42,-9.22,44.535839228755385
8,0.0,0.5,0.5,0.0,71.78,-54.06,14.34,21.345629971060923
9,0.0,0.4,0.35,0.25,75.24,-54.2,10.81,22.257038629335657
10,0.0,0.65,0.35,0.0,75.07,-66.5,40.21,47.6018505803925
11,0.15,0.45,0.4,0.0,70.9,-51.27,10.85,17.439399823276023
12,0.1,0.4,0.5,0.0,71.04,-45.44,-0.73,13.524215842314186
13,0.1,0.4,0.4,0.1,70.98,-49.52,6.96,15.18001816092219
14,0.0,0.35,0.65,0.0,70.2,-40.67,-7.47,15.628298936522016
15,0.05,0.4,0.5,0.05,74.53,-46.51,-1.24,17.16108364976047
16,0.05,0.4,0.55,0.0,72.59,-43.31,-5.85,16.628691328216178
17,0.0,0.35,0.55,0.1,73.64,-43.5,-6.38,17.816608718543126
18,0.15,0.35,0.5,0.0,69.44,-41.53,-6.11,14.153668895580513
19,0.0,0.25,0.2,0.55,90.76,-52.01,-3.13,34.27056503666227
20,0.2,0.35,0.45,0.0,61.13,-40.74,-0.13,4.15829823998775
21,0.25,0.35,0.4,0.0,67.61,-42.33,-3.02,10.853182947049238
22,0.25,0.3,0.45,0.0,63.53,-29.4,-19.64,26.163163021448035
23,0.25,0.4,0.35,0.0,76.12,-47.67,0.62,18.619591050511126
Target,,,,,59.02755991285403,-40.849444444444444,3.4524999999999864,
