well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,31.92,-16.6,120.85,154.7976034625199
2,0.5,0.25,0.25,0.0,4.08,122.85,91.21,264.6247697158505
3,0.5,0.2,0.3,0.0,2.03,79.44,52.27,214.8815487071027
4,0.1,0.1,0.8,0.0,68.29,-90.02,19.77,34.783199832488535
5,0.3,0.05,0.65,0.0,8.97,83.83,98.75,230.32442106697087
6,0.05,0.1,0.85,0.0,31.77,-102.69,32.4,41.00622610405275
7,0.35,0.0,0.65,0.0,9.55,99.95,57.23,233.4389796106569
8,0.05,0.2,0.75,0.0,51.33,45.17,7.51,168.82588108026133
9,0.05,0.1,0.85,0.0,2.09,-63.5,-36.78,97.47553764410547
10,0.05,0.1,0.85,0.0,64.23,50.64,10.69,173.9739539628959
11,0.1,0.05,0.85,0.0,93.19,14.3,102.95,167.70567325425148
12,0.05,0.1,0.85,0.0,0.7,22.88,70.01,168.28461502934226
13,0.05,0.1,0.85,0.0,35.69,82.08,3.54,207.1436444828669
14,0.1,0.05,0.85,0.0,4.12,-104.99,88.77,96.92807317995754
15,0.05,0.1,0.85,0.0,35.76,-88.86,-82.82,104.55469250501044
16,0.05,0.1,0.85,0.0,89.59,-86.75,69.28,73.20415376101343
17,0.15,0.05,0.8,0.0,58.93,-76.06,11.12,47.31199814513844
18,0.05,0.1,0.85,0.0,80.61,120.98,45.05,247.18702519135144
19,0.05,0.1,0.85,0.0,62.08,48.23,56.17,176.98139719029746
20,0.2,0.15,0.65,0.0,50.09,15.56,73.71,152.11679771473405
21,0.05,0.1,0.85,0.0,86.6,60.1,-48.39,194.92329720559292
22,0.05,0.1,0.85,0.0,0.27,-117.61,68.91,83.14880327512866
23,0.1,0.2,0.7,0.0,53.81,-8.18,-79.83,147.80110050444654
Target,,,,,61.16423842747742,-123.29197567834355,12.576340432737567,
