well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R,measured_G,measured_B,output
1,0.05,0.1,0.3,0.55,0.44,203.48,220.96,98.8358992097913
2,0.75,0.2,0.05,0.0,206.72,71.27,112.06,222.84240269397995
3,0.2,0.2,0.05,0.55,204.43,196.46,180.36,213.46414190411002
4,0.1,0.2,0.5,0.2,0.27,187.29,217.22,87.942733883045
5,0.1,0.5,0.05,0.35,190.19,216.92,122.17,201.3348172084758
6,0.0,0.0,0.55,0.45,0.11,187.66,253.42,122.01571111204903
7,0.0,0.5,0.5,0.0,0.01,209.51,177.47,70.76675177285927
8,0.35,0.0,0.65,0.0,0.16,124.41,230.78,97.75491605719257
9,0.0,0.05,0.95,0.0,0.12,169.78,251.82,116.38298178260905
10,0.0,0.65,0.35,0.0,0.38,205.82,102.42,64.28529997399804
11,0.6,0.0,0.4,0.0,1.42,101.39,222.21,98.99382153567794
12,0.2,0.4,0.4,0.0,0.16,186.77,155.92,40.03734233885462
13,0.0,0.3,0.7,0.0,0.01,181.62,186.15,57.73264313081787
14,0.25,0.4,0.35,0.0,0.28,163.94,117.8,22.739637108655298
15,0.3,0.4,0.3,0.0,1.6,182.72,136.94,31.195379299833704
16,0.25,0.45,0.3,0.0,0.31,183.07,126.76,33.101555435088265
17,0.3,0.35,0.35,0.0,0.51,158.15,137.68,6.653007442104016
18,0.35,0.25,0.4,0.0,1.36,143.93,162.6,26.8512494493411
19,0.35,0.3,0.35,0.0,7.73,184.8,185.76,59.584136413261845
20,0.3,0.25,0.35,0.1,0.34,149.14,160.53,23.779152890533286
21,0.3,0.3,0.4,0.0,0.33,150.98,156.2,19.34098319479541
22,0.35,0.15,0.5,0.0,0.32,132.04,191.28,57.80085946339197
23,0.4,0.1,0.5,0.0,0.24,127.46,223.82,90.22670387447647
Target,,,,,0.3258333333333333,151.55194444444444,136.87083333333334,
