well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R,measured_G,measured_B,output
1,0.05,0.1,0.3,0.55,109.09,223.68,230.24,49.15991091062656
2,0.75,0.2,0.05,0.0,210.34,171.33,192.15,77.20938109910473
3,0.2,0.2,0.05,0.55,212.38,218.47,218.83,68.34103793342548
4,0.1,0.2,0.5,0.2,49.11,229.54,234.21,104.56990591979162
5,0.1,0.5,0.05,0.35,203.68,221.22,187.06,58.742321556276515
6,0.0,0.0,0.35,0.65,100.24,223.13,236.76,59.90559414122842
7,0.0,0.25,0.25,0.5,163.79,240.55,234.67,46.54760710041592
8,0.2,0.0,0.3,0.5,149.45,222.13,234.88,35.742905237902505
9,0.35,0.0,0.25,0.4,149.92,198.56,214.69,21.830564105553183
10,0.15,0.65,0.2,0.0,150.05,211.01,167.5,32.90943396159892
11,0.55,0.0,0.3,0.15,148.47,210.04,231.66,31.945367102617347
12,0.35,0.25,0.2,0.2,191.11,214.72,206.82,44.83167546414966
13,0.45,0.0,0.25,0.3,161.46,197.29,215.43,27.317779777560773
14,0.05,0.0,0.95,0.0,1.05,204.96,233.79,149.89332922161307
15,0.0,0.9,0.1,0.0,204.66,240.11,187.85,64.46141122137519
16,0.25,0.0,0.2,0.55,199.58,225.66,236.33,65.01232052334578
17,0.0,0.75,0.25,0.0,158.57,226.68,172.5,32.3664863025165
18,0.35,0.0,0.3,0.35,146.88,209.88,228.4,28.7028140396773
19,0.7,0.0,0.3,0.0,169.9,207.89,240.02,46.61904969974622
20,0.4,0.3,0.3,0.0,138.36,199.42,194.96,17.987298028190306
21,0.25,0.45,0.3,0.0,134.07,208.14,188.78,18.146904161115632
22,0.3,0.35,0.3,0.05,136.16,208.72,194.43,13.33808552176071
23,0.35,0.4,0.25,0.0,158.53,217.32,209.2,15.146674167907793
Target,,,,,146.78972222222222,214.46805555555557,200.06722222222223,
