well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,R,Y,B,Water,measured_R,measured_G,measured_B,output
1,0.03,0.04,0.09,0.08,30.0,40.0,90.0,80.0,161,74,73,123.89511693363868
2,0.01,0.12,0.04,0.07,10.0,120.0,40.0,70.0,174,95,101,106.57391800998967
3,0.08,0.05,0.03,0.08,80.0,50.0,30.0,80.0,108,77,164,36.78314831549904
4,0.22,0.01,0.01,0.0,220.0,10.0,10.0,0.0,93,146,164,93.45052166788584
5,0.06,0.01,0.07,0.1,60.0,10.0,70.0,100.0,149,71,145,51.95190083144215
6,0.1,0.0,0.02,0.12,100.0,0.0,20.0,120.0,134,64,73,119.15116449284078
7,0.11,0.0,0.09,0.04,110.0,0.0,90.0,40.0,91,87,99,102.69858811103491
8,0.06,0.02,0.0,0.16,60.0,20.0,0.0,160.0,144,137,73,140.52046114356443
9,0.08,0.02,0.06,0.08,80.0,20.0,60.0,80.0,151,85,161,43.94314508543966
10,0.07,0.06,0.02,0.09,70.0,60.0,20.0,90.0,163,149,139,106.10843510296436
11,0.08,0.08,0.02,0.06,80.0,80.0,20.0,60.0,133,88,127,69.46941773183363
12,0.1,0.04,0.04,0.06,100.0,40.0,40.0,60.0,155,95,70,128.7400481590713
13,0.07,0.0,0.05,0.12,70.0,0.0,50.0,120.0,177,80,159,61.204574992397426
14,0.09,0.08,0.04,0.03,90.0,80.0,40.0,30.0,134,103,105,95.53009996854395
15,0.08,0.02,0.04,0.1,80.0,20.0,40.0,100.0,99,87,167,44.66542286825459
16,0.07,0.02,0.09,0.06,70.0,20.0,90.0,60.0,123,73,81,111.476454913134
17,0.08,0.05,0.05,0.06,80.0,50.0,50.0,60.0,128,72,115,77.41446893184762
18,0.08,0.07,0.0,0.09,80.0,70.0,0.0,90.0,124,137,103,115.17812292271479
19,0.06,0.0,0.11,0.07,60.0,0.0,110.0,70.0,85,153,128,117.75398082442904
20,0.06,0.1,0.0,0.08,60.0,100.0,0.0,80.0,148,75,118,77.44029958619737
21,0.09,0.07,0.0,0.08,90.0,70.0,0.0,80.0,90,130,107,114.12712210513327
22,0.07,0.07,0.0,0.1,70.0,70.0,0.0,100.0,160,139,116,111.46748404803976
23,0.07,0.0,0.07,0.1,70.0,0.0,70.0,100.0,153,84,160,45.2658811910251
