well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,R,Y,B,Water,measured_R,measured_G,measured_B,output
1,0.1,0.2,0.6,1.1,50.0,100.0,300.0,550.0,161,74,73,56.79788728465171
2,1.5,0.4,0.1,0.0,750.0,200.0,50.0,0.0,174,95,101,27.313000567495326
3,0.4,0.4,0.1,1.1,200.0,200.0,50.0,550.0,108,77,164,98.55455342093535
4,0.2,0.4,1.0,0.4,100.0,200.0,500.0,200.0,93,146,164,101.73003489628813
5,0.2,1.0,0.1,0.7000000000000001,100.0,500.0,50.0,350.0,149,71,145,69.93568473962345
6,1.7,0.1,0.2,0.0,850.0,50.0,100.0,0.0,134,64,73,74.16872656315464
7,1.3,0.7000000000000001,0.0,0.0,650.0,350.0,0.0,0.0,91,87,99,86.45808232895291
8,1.3,0.2,0.2,0.3,650.0,100.0,100.0,150.0,144,137,73,41.737273509418415
9,1.3,0.4,0.2,0.1,650.0,200.0,100.0,50.0,151,85,161,72.18725649309579
10,1.5,0.3,0.0,0.2,750.0,150.0,0.0,100.0,163,149,139,46.33573135281238
11,1.4000000000000001,0.3,0.3,0.0,700.0,150.0,150.0,0.0,133,88,127,56.124860801609124
12,1.3,0.0,0.0,0.7000000000000001,650.0,0.0,0.0,350.0,155,95,70,44.474711915874174
13,1.5,0.0,0.5,0.0,750.0,0.0,250.0,0.0,177,80,159,71.14773362518304
