well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,R,Y,B,Water,measured_R,measured_G,measured_B,output
1,0.1,0.2,0.6,1.1,50.0,100.0,300.0,550.0,161,74,73,62.976185975335156
2,1.5,0.4,0.1,0.0,750.0,200.0,50.0,0.0,174,95,101,28.319604517012593
3,0.4,0.4,0.1,1.1,200.0,200.0,50.0,550.0,108,77,164,77.07788269017254
4,0.2,0.4,1.0,0.4,100.0,200.0,500.0,200.0,93,146,164,96.06768447297978
5,0.2,1.0,0.1,0.7000000000000001,100.0,500.0,50.0,350.0,149,71,145,42.391036788453285
6,1.9000000000000001,0.1,0.0,0.0,950.0,50.0,0.0,0.0,134,64,73,76.909037180295
7,1.2,0.8,0.0,0.0,600.0,400.0,0.0,0.0,91,87,99,86.58521813797087
8,1.3,0.1,0.6,0.0,650.0,50.0,300.0,0.0,144,137,73,70.07139216541941
9,1.4000000000000001,0.4,0.0,0.2,700.0,200.0,0.0,100.0,151,85,161,42.579337712087536
10,1.3,0.4,0.3,0.0,650.0,200.0,150.0,0.0,163,149,139,47.968739820845826
11,1.6,0.4,0.0,0.0,800.0,200.0,0.0,0.0,133,88,127,40.8656334834051
12,1.5,0.3,0.2,0.0,750.0,150.0,100.0,0.0,155,95,70,60.69596362197407
13,1.5,0.5,0.0,0.0,750.0,250.0,0.0,0.0,177,80,159,39.06404996924922
