well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,R,Y,B,Water,measured_R,measured_G,measured_B,output
1,0.15,0.3,0.9,1.6500000000000001,50.0,100.0,300.0,550.0,161,74,73,20.074859899884732
2,2.25,0.6,0.15,0.0,750.0,200.0,50.0,0.0,174,95,101,27.294688127912362
3,0.6,0.6,0.15,1.6500000000000001,200.0,200.0,50.0,550.0,108,77,164,100.83650132764424
4,0.3,0.6,1.5,0.6,100.0,200.0,500.0,200.0,93,146,164,134.02238618977054
5,0.3,1.5,0.15,1.05,100.0,500.0,50.0,350.0,149,71,145,62.24146527838174
6,0.0,0.0,1.05,1.95,0.0,0.0,350.0,650.0,134,64,73,43.289721643826724
7,0.0,0.75,0.75,1.5,0.0,250.0,250.0,500.0,91,87,99,85.24083528450434
8,0.6,0.0,0.9,1.5,200.0,0.0,300.0,500.0,144,137,73,74.03377607551839
9,2.7,0.15,0.15,0.0,900.0,50.0,50.0,0.0,151,85,161,77.80745465570763
10,1.95,1.05,0.0,0.0,650.0,350.0,0.0,0.0,163,149,139,93.84028985462481
11,1.95,0.3,0.75,0.0,650.0,100.0,250.0,0.0,133,88,127,59.08468498688979
12,0.0,0.3,0.75,1.95,0.0,100.0,250.0,650.0,155,95,70,35.510561809129406
13,0.0,0.3,1.2,1.5,0.0,100.0,400.0,500.0,177,80,159,71.63099887618489
