well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,31.92,-16.6,120.85,85.63956186519744
2,0.5,0.25,0.25,0.0,4.08,122.85,91.21,69.02555950735879
3,0.5,0.2,0.3,0.0,2.03,79.44,52.27,37.42585395281475
4,0.1,0.1,0.8,0.0,68.29,-90.02,19.77,167.601033026653
5,0.3,0.05,0.65,0.0,8.97,83.83,98.75,34.58219335232411
6,0.3,0.1,0.6,0.0,74.75,107.13,-35.77,142.53557743319993
7,0.45,0.15,0.4,0.0,35.82,2.25,1.84,97.65939832254007
8,0.7,0.0,0.3,0.0,31.77,-102.69,32.4,166.1380684257178
9,0.35,0.0,0.65,0.0,9.55,99.95,57.23,50.23018359176999
10,0.25,0.1,0.65,0.0,51.33,45.17,7.51,84.04231909379047
11,0.4,0.3,0.3,0.0,84.53,-117.33,111.95,190.77228553901
Target,,,,,9.347037946640391,55.00126321406157,79.64980687098011,
