well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,37.01,75.6,-53.46,101.12194121083715
2,0.5,0.25,0.25,0.0,61.06,55.01,27.76,36.77979718984707
3,0.5,0.2,0.3,0.0,56.11,60.46,19.47,42.25036267027905
4,0.1,0.1,0.8,0.0,41.91,69.44,-74.77,116.13434457404097
5,0.3,0.05,0.65,0.0,37.54,74.5,-44.89,93.45850371547094
6,0.55,0.3,0.15,0.0,63.75,53.51,49.66,41.21367773214462
7,0.5,0.15,0.35,0.0,50.29,67.25,9.54,51.486575108583544
8,0.45,0.25,0.3,0.0,60.4,51.75,22.06,34.342483160337345
9,0.4,0.35,0.25,0.0,62.6,45.43,35.49,28.910990526911153
10,0.55,0.3,0.15,0.0,63.98,51.7,47.9,38.99480297564675
11,0.5,0.2,0.3,0.0,54.33,59.54,22.43,40.49124116017486
12,0.35,0.45,0.2,0.0,66.61,33.53,45.09,26.20627632029503
13,0.4,0.35,0.25,0.0,61.99,41.75,33.5,25.07919098416741
14,0.35,0.3,0.35,0.0,63.33,51.38,14.54,37.43474289425663
15,0.35,0.45,0.2,0.0,68.62,37.95,46.96,30.928884023079178
16,0.3,0.55,0.15,0.0,74.66,24.81,59.84,39.005327602229606
17,0.4,0.35,0.25,0.0,63.15,44.15,33.5,27.722647366936812
18,0.35,0.45,0.2,0.0,68.47,32.46,45.6,27.19708448638288
19,0.35,0.4,0.25,0.0,58.93,39.33,35.87,22.091962175793256
20,0.4,0.25,0.35,0.0,52.97,55.58,13.93,39.155930839230436
21,0.35,0.35,0.3,0.0,62.13,42.39,27.22,25.61286299321927
22,0.35,0.4,0.25,0.0,61.18,38.42,36.66,22.554767156988774
23,0.35,0.4,0.25,0.0,63.88,40.39,37.88,25.896666809153505
Target,,,,,50.0,20.0,30.0,
