well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.65,0.05,0.0,8.94,-30.49,42.48,188.50254191810507
2,0.8,0.2,0.0,0.0,42.92,-116.79,-78.46,231.8130681523554
3,0.15,0.05,0.8,0.0,44.67,-112.04,-52.12,227.31847871627912
4,0.05,0.85,0.1,0.0,94.36,-55.88,-59.74,174.55924041868911
5,0.1,0.45,0.45,0.0,40.72,82.63,1.21,78.01958393870228
6,0.1,0.45,0.45,0.0,67.52,-106.14,-68.33,220.7770324145398
7,0.1,0.45,0.45,0.0,52.25,-110.38,-104.99,227.78769649413493
8,0.1,0.45,0.45,0.0,8.4,-45.69,104.28,240.25042065862206
9,0.1,0.45,0.45,0.0,14.92,-1.83,-50.55,124.78912286420484
10,0.1,0.45,0.45,0.0,30.18,-126.12,19.76,257.46423742103127
11,0.1,0.45,0.45,0.0,71.83,-24.15,-86.44,140.52502785950242
12,0.1,0.45,0.45,0.0,74.96,-26.65,-20.88,149.8679481185232
13,0.1,0.45,0.45,0.0,55.36,-9.3,91.7,202.16981096881742
14,0.1,0.45,0.45,0.0,82.37,-109.12,-46.23,226.02576651833678
15,0.1,0.45,0.45,0.0,3.69,70.97,-82.04,69.98260393748951
16,0.1,0.45,0.45,0.0,40.29,82.52,-16.05,63.32605398015618
17,0.1,0.45,0.45,0.0,54.25,-124.1,-17.79,243.76353587640557
18,0.1,0.45,0.45,0.0,63.36,-36.19,12.76,171.0837530928664
19,0.1,0.45,0.45,0.0,78.23,45.99,102.62,185.26522682809892
20,0.1,0.45,0.45,0.0,77.15,-37.45,123.52,245.41502097526956
21,0.1,0.45,0.45,0.0,29.38,-112.35,-49.47,229.1443999671058
22,0.1,0.45,0.45,0.0,16.55,79.52,99.56,176.02571565473767
23,0.1,0.45,0.45,0.0,90.8,117.72,-9.85,67.62310898823193
Target,,,,,56.81283719190448,114.37839972902447,-68.21770158090308,
