calibration_type,plate_index,time_index,replicate,well_index,target_time_s,target_volume_ml,dispensed_mass_g,dispensed_volume_ml,measured_mass_g,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.05,,0.034,0.034,42.315,0.7000738734301896,0.25,32768,2026-01-29 13:03:30
time,0,0,2,1,0.05,,0.027,0.027,42.342,0.7000738734301896,0.25,32768,2026-01-29 13:04:41
time,0,0,3,2,0.05,,0.023,0.023,42.365,0.7000738734301896,0.25,32768,2026-01-29 13:06:18
time,0,0,4,3,0.05,,0.02,0.02,42.385,0.7000738734301896,0.25,32768,2026-01-29 13:08:53
time,0,1,1,4,0.5,,0.163,0.163,42.548,0.7000738734301896,0.25,32768,2026-01-29 13:10:40
time,0,1,2,5,0.5,,0.191,0.191,42.739,0.7000738734301896,0.25,32768,2026-01-29 13:13:18
time,0,1,3,6,0.5,,0.174,0.174,42.913,0.7000738734301896,0.25,32768,2026-01-29 13:15:36
time,0,1,4,7,0.5,,0.18,0.18,43.093,0.7000738734301896,0.25,32768,2026-01-29 13:17:21
time,0,2,1,8,1.0,,0.398,0.398,43.491,0.7000738734301896,0.25,32768,2026-01-29 13:19:21
time,0,2,2,9,1.0,,0.372,0.372,43.863,0.7000738734301896,0.25,32768,2026-01-29 13:21:44
time,0,2,3,10,1.0,,0.375,0.375,44.238,0.7000738734301896,0.25,32768,2026-01-29 13:22:57
time,0,2,4,11,1.0,,0.373,0.373,44.611,0.7000738734301896,0.25,32768,2026-01-29 13:25:09
