group_id,well_index,r_norm,g_norm,b_norm,r0,g0,b0,rgb_error
1,0,1.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.816496580927726
1,1,0.9902712671094841,0.0049499483747715515,0.004778784515744314,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.8045813743181299
1,2,0.9859347972254628,0.010441868617501193,0.003623334157036049,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.799284837975374
1,3,0.9832861354709912,0.006536932469960586,0.01017693205904812,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.7960305222216009
1,4,0.9673940136676151,0.02158153833371414,0.011024447998670629,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.7765984455284015
1,5,0.9000176556070133,0.08875881082696147,0.011223533566025177,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.69620581818607
2,6,0.9957698269181091,0.0030066879072304033,0.0012234851746605814,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.26698762169545176
2,7,0.992543726993073,0.00695832749323163,0.000497945513695346,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.2630731603208144
2,8,0.967224646176531,0.011506061228682968,0.021269292594786014,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.2321267633481668
2,9,0.989225320248807,0.004957247675098904,0.005817432076094,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.2589700074992439
2,10,0.9974026937775964,0.0022299729138065376,0.0003673333085970836,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.26898771404107014
2,11,0.994744182717511,0.004346640203810419,0.0009091770786786369,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.265739608235349
3,12,0.6646755706689934,0.2886716332207283,0.04665279611027838,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.7414939688910613
3,13,0.44806062970355526,0.5422093785152389,0.009729991781205852,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.42344489625850884
3,14,0.46439378608976384,0.5301330409287923,0.00547317298144392,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.4441800739580323
3,15,0.5022651828820925,0.49243228821950985,0.005302528898397698,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.49559964925747296
3,16,0.4204872978123573,0.5244200148047816,0.05509268738286111,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.40378440380168595
3,17,0.3887506774659762,0.6052706852944719,0.00597863723955197,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.3433587960503057
4,18,0.010432597771466025,0.9801798849319059,0.009387517296628067,0.11111111111111113,0.11111111111111113,0.7777777777777778,1.1644055518078527
4,19,0.008049251333074936,0.9862534291165392,0.005697319550385905,0.11111111111111113,0.11111111111111113,0.7777777777777778,1.171581861280483
4,20,0.26760831312122507,0.6088600370951633,0.12353164978361154,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.8368293515111853
4,21,0.03224077461752677,0.9335376297729047,0.03422159560956853,0.11111111111111113,0.11111111111111113,0.7777777777777778,1.1115222465687908
4,22,0.03322917179272674,0.9319423256729492,0.0348285025343241,0.11111111111111113,0.11111111111111113,0.7777777777777778,1.1098662553910843
4,23,0.0009825239590883466,0.9400499315454619,0.05896754449544978,0.11111111111111113,0.11111111111111113,0.7777777777777778,1.1027039608174936
