channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.4167967738522033,0.21829667368507513,-0.6350934475372787
RGB_G,raw,-0.6376862460602244,0.3409667540345987,0.29671949202562586
RGB_B,raw,-0.32452268554146496,-0.2873174213559719,0.611840106897437
LAB_L,raw,-0.5818290694772729,0.46944227537007843,0.11238679410719474
LAB_A,raw,0.6340826468002363,-0.17332646183678496,-0.4607561849634515
LAB_B,raw,0.20600222697081289,0.4281884981554622,-0.6341907251262752
HSV_H,raw,-0.4453995761603247,-0.1733348224404571,0.6187343986007818
HSV_S,raw,0.2915106523099871,0.20084041386963883,-0.492351066179626
HSV_V,raw,0.5079590836237291,0.026467272362723115,-0.5344263559864522
R',normalized,0.5482399242812911,0.03788140038403759,-0.5861213246653287
G',normalized,-0.6485915490031654,0.25477071419689745,0.3938208348062681
B',normalized,-0.3344982515425136,-0.32464174544133506,0.6591399969838488
L',normalized,-0.5818271535113084,0.46944337496196253,0.11238377854934593
C',normalized,0.34600659140938805,0.20666958211662895,-0.5526761735260171
h',normalized,-0.5194826543885012,-0.08153231115718279,0.601014965545684
H',normalized,-0.44539902483968785,-0.1733355460440408,0.6187345708837286
S',normalized,0.2915105514246809,0.2008391149569412,-0.4923496663816222
V',normalized,0.5079568846918701,0.026470477852779783,-0.53442736254465
