group_id,channel,channel_type,avg_std,avg_mean,norm_std,cv_percent
1,RGB_R,raw,1.562,201.41,0.006125490196078431,0.7755324959038777
1,RGB_G,raw,0.6411666666666667,167.20449999999997,0.0025143790849673203,0.38346256629855463
1,RGB_B,raw,1.3058333333333334,95.57316666666667,0.0051209150326797384,1.366317951865848
1,LAB_L,raw,0.051333333333333335,70.3365,0.0005133333333333333,0.0729824960487561
1,LAB_A,raw,0.5716666666666667,3.8738333333333337,0.002241830065359477,14.757131179279781
1,LAB_B,raw,0.5511666666666666,40.916000000000004,0.002161437908496732,1.347068791344869
1,HSV_H,raw,0.43133333333333335,41.404500000000006,0.0011981481481481483,1.041754720702661
1,HSV_S,raw,0.32183333333333336,52.9335,0.0032183333333333335,0.6079955667645883
1,HSV_V,raw,0.24949999999999997,78.66833333333334,0.002495,0.3171542975784411
2,RGB_R,raw,0.9938333333333333,247.20149999999998,0.0038973856209150327,0.4020336985549575
2,RGB_G,raw,0.8108333333333332,57.68266666666667,0.0031797385620915028,1.4056793490823352
2,RGB_B,raw,0.2808333333333333,1.7444999999999997,0.0011013071895424836,16.09821343269323
2,LAB_L,raw,0.08916666666666667,54.964499999999994,0.0008916666666666667,0.1622259215796863
2,LAB_A,raw,0.2701666666666666,68.8865,0.0010594771241830064,0.39219101952729
2,LAB_B,raw,0.12949999999999998,66.45083333333334,0.0005078431372549019,0.19488092700116622
2,HSV_H,raw,0.12833333333333333,13.717666666666668,0.00035648148148148144,0.9355332539547542
2,HSV_S,raw,0.10149999999999999,99.27233333333334,0.0010149999999999998,0.1022439954737305
2,HSV_V,raw,0.10816666666666667,96.98483333333333,0.0010816666666666668,0.11152946594742477
3,RGB_R,raw,1.514,223.92899999999997,0.005937254901960784,0.6761071589655651
3,RGB_G,raw,0.45449999999999996,186.62533333333332,0.0017823529411764704,0.24353606870092664
3,RGB_B,raw,1.8634999999999995,17.517333333333333,0.0073078431372549,10.638034708479218
3,LAB_L,raw,0.042666666666666665,76.98033333333332,0.00042666666666666667,0.05542541168523563
3,LAB_A,raw,0.5268333333333334,-0.26499999999999924,0.002066013071895425,-198.80503144654148
3,LAB_B,raw,0.19083333333333333,76.44216666666667,0.0007483660130718954,0.24964406642930492
3,HSV_H,raw,0.20633333333333337,49.44866666666667,0.0005731481481481483,0.41726773893465285
3,HSV_S,raw,0.42,92.29083333333334,0.0042,0.45508311587463535
3,HSV_V,raw,0.32583333333333336,87.98566666666666,0.0032583333333333336,0.3703254696787735
4,RGB_R,raw,2.9836666666666667,92.29766666666667,0.011700653594771243,3.23265665798702
4,RGB_G,raw,0.9546666666666667,186.17233333333334,0.0037437908496732028,0.5127865400695055
4,RGB_B,raw,1.4344999999999999,163.07366666666667,0.005625490196078431,0.8796637920285514
4,LAB_L,raw,0.25666666666666665,69.58633333333334,0.0025666666666666667,0.36884637309050144
4,LAB_A,raw,0.468,-33.54516666666667,0.0018352941176470589,-1.3951339239135296
4,LAB_B,raw,0.44383333333333336,3.3026666666666666,0.0017405228758169936,13.438635446104158
4,HSV_H,raw,0.6686666666666667,165.1585,0.0018574074074074077,0.4048636108142583
4,HSV_S,raw,0.7548333333333334,50.6455,0.007548333333333334,1.4904252763490011
4,HSV_V,raw,0.30150000000000005,72.9465,0.0030150000000000003,0.41331660874750675
1,R',normalized,0.06554518403384745,0.5366458297546531,0.06554518403384745,12.213862551361625
1,G',normalized,0.030391413863115474,0.3514536402169132,0.030391413863115474,8.647346444998618
1,B',normalized,0.05033275070681523,0.11190053002843363,0.05033275070681523,44.97990375383012
1,L',normalized,0.04492879476972287,0.7033630555555556,0.04492879476972287,6.387710360225786
1,C',normalized,0.10998276177765315,0.42750397747339336,0.10998276177765315,25.726722457102326
1,h',normalized,0.018870993387761187,0.23644342853380518,0.018870993387761187,7.9811875105943715
1,H',normalized,0.013538594641168357,0.11501219135802465,0.013538594641168357,11.771443080345882
1,S',normalized,0.15679415431757518,0.5293352777777778,0.15679415431757518,29.62095308965965
1,V',normalized,0.0388806073563038,0.7866811111111112,0.0388806073563038,4.942359338129867
2,R',normalized,0.008076927374057892,0.9561202806247477,0.008076927374057892,0.8447605952653016
2,G',normalized,0.00783570531231112,0.0433405336887063,0.00783570531231112,18.07939276565243
2,B',normalized,0.0003595863959056562,0.00053918568654575,0.0003595863959056562,66.69064199558369
2,L',normalized,0.010866258630290868,0.5496441666666666,0.010866258630290868,1.9769624221047624
2,C',normalized,0.015786235215359427,0.9857452128637095,0.015786235215359427,1.601451877153783
2,h',normalized,0.0021899074955364943,0.12216659781254396,0.0021899074955364943,1.7925583054189274
2,H',normalized,0.0037902383231792065,0.038104398148148116,0.0037902383231792065,9.946983832267701
2,S',normalized,0.0043113660881785865,0.9927224999999998,0.0043113660881785865,0.4342972067399084
2,V',normalized,0.016710332317845765,0.9698494444444444,0.016710332317845765,1.7229820992904612
3,R',normalized,0.042914372066490465,0.5968762906355686,0.042914372066490465,7.189826893742786
3,G',normalized,0.03791677222094455,0.39709462847870447,0.03791677222094455,9.548548255665454
3,B',normalized,0.005617900634742934,0.006029080885726799,0.005617900634742934,93.1800508439472
3,L',normalized,0.021617242046655785,0.7698016666666666,0.021617242046655785,2.8081573452888238
3,C',normalized,0.019332083948412928,0.7927271415390833,0.019332083948412928,2.4386807181698864
3,h',normalized,0.015115365496049997,0.2508399833505727,0.015115365496049997,6.0258995771518755
3,H',normalized,0.010079866436474351,0.1373568672839506,0.010079866436474351,7.3384510259955
3,S',normalized,0.06606835972587247,0.9229080555555557,0.06606835972587247,7.158715251011849
3,V',normalized,0.041463847923764445,0.8798569444444443,0.041463847923764445,4.712566990074208
4,R',normalized,0.02062014723275543,0.1119471276031891,0.02062014723275543,18.41954114789455
4,G',normalized,0.019437383114012028,0.5094401316982564,0.019437383114012028,3.815440108578818
4,B',normalized,0.013102339292087407,0.37861274069855444,0.013102339292087407,3.460617640049067
4,L',normalized,0.027550344719001293,0.695863888888889,0.027550344719001293,3.9591571223780453
4,C',normalized,0.023360046413175163,0.34865382702091,0.023360046413175163,6.700068836982585
4,h',normalized,0.00988498319889301,0.48439161949472287,0.00988498319889301,2.040700706012256
