channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.3662819157740802,0.1354702970677597,0.9472645917516194,0.966011203062306
RGB_G,raw,0.933560294300646,0.23586073686687825,0.2309324187200208,0.9335689665916967
RGB_B,raw,0.28790359276738564,0.15461054719317346,0.864475901340171,0.8713266942004868
LAB_L,raw,0.7657099794083955,0.4933939499062244,0.029800596165438287,0.8592696836533719
LAB_A,raw,0.8760382975894921,0.038288537183494675,0.5480361036239692,0.9749086255979705
LAB_B,raw,0.14243632961844988,0.34835884320255694,0.9363014242514498,0.9513977313816377
HSV_H,raw,0.4330258415378183,0.07906475969155202,0.8821559149318013,0.9294976774407812
HSV_S,raw,0.2257307804849945,0.08771304770486976,0.5948654671385267,0.6055395302189274
HSV_V,raw,0.4805070296204017,0.0160605077227699,0.6722625783666895,0.7792200771399078
R',normalized,0.659788873890797,0.007196820897773071,0.8048027090609071,0.9811922692329847
G',normalized,0.9178923207568879,0.07958376235286557,0.4569233129914734,0.969599597400818
B',normalized,0.2531237762939852,0.23185289520549734,0.9694866523217938,0.9696422158808509
L',normalized,0.7657191688090247,0.49338812252826947,0.029803841276908605,0.8592740884094686
C',normalized,0.4013380899296507,0.03670948128559515,0.6808059951800509,0.7459023775968645
h',normalized,0.5741681790046749,0.026207569310188306,0.8457126786532829,0.9640589513120974
H',normalized,0.43302495652171513,0.07906528859969097,0.882156418437791,0.9294977757061316
S',normalized,0.2257301756163469,0.0877132855011612,0.5948651044931655,0.6055390437404491
V',normalized,0.48050657244028994,0.016059645810041934,0.6722564611528734,0.7792151196021369
