channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.4034748598937211,0.24537526549961028,-0.6488501253933316
RGB_G,raw,-0.6441394929328919,0.32376997106442273,0.3203695218684692
RGB_B,raw,-0.35771098996404965,-0.262136984709372,0.6198479746734218
LAB_L,raw,-0.5833657055430422,0.46828004437336657,0.11508566116967595
LAB_A,raw,0.6239794503701375,-0.13044971305874414,-0.4935297373113934
LAB_B,raw,0.2516049192404189,0.39347954525549333,-0.6450844644959123
HSV_H,raw,-0.43869799358142014,-0.18745637678202703,0.6261543703634472
HSV_S,raw,0.31674088988740356,0.1974425910428645,-0.5141834809302681
HSV_V,raw,0.4621240957051363,0.08448670565445385,-0.5466108013595902
R',normalized,0.5415159272884049,0.056556052423033076,-0.5980719797114381
G',normalized,-0.638711313942862,0.18807062781231454,0.4506406861305475
B',normalized,-0.3354093858714454,-0.3210073693896188,0.6564167552610644
L',normalized,-0.5833692060623263,0.46827727898389887,0.11509192707842744
C',normalized,0.42234166786285504,0.12773145664173732,-0.5500731245045926
h',normalized,-0.5051592395823433,-0.10792501370074445,0.6130842532830879
H',normalized,-0.4386975452767813,-0.18745700378094518,0.6261545490577266
S',normalized,0.3167404655173605,0.19744285868311498,-0.5141833242004755
V',normalized,0.46212387586028175,0.08448443856722213,-0.546608314427504
