well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,37.01,75.6,-53.46,101.12194121083715
2,0.5,0.25,0.25,0.0,61.06,55.01,27.76,36.77979718984707
3,0.5,0.2,0.3,0.0,56.11,60.46,19.47,42.25036267027905
4,0.1,0.1,0.8,0.0,41.91,69.44,-74.77,116.13434457404097
5,0.3,0.05,0.65,0.0,37.54,74.5,-44.89,93.45850371547094
6,0.45,0.25,0.3,0.0,60.45,54.19,23.95,36.260546776848905
7,0.3,0.1,0.6,0.0,42.1,70.11,-31.61,79.80760835440891
8,0.35,0.2,0.45,0.0,52.55,60.82,-6.9,55.08356749276477
9,0.45,0.25,0.3,0.0,55.71,53.63,22.19,34.997877791760345
10,0.35,0.05,0.6,0.0,41.44,71.7,-35.85,84.15543490690283
11,0.35,0.15,0.5,0.0,53.58,66.38,-15.76,65.25256540817301
12,0.45,0.25,0.3,0.0,58.5,55.69,17.46,38.76918208480682
13,0.35,0.2,0.45,0.0,57.14,59.22,-8.24,55.23719889946992
14,0.3,0.15,0.55,0.0,49.5,57.88,-25.22,66.9644364671211
15,0.5,0.2,0.3,0.0,54.03,60.54,23.73,41.222712722638946
16,0.4,0.15,0.45,0.0,50.63,64.72,-9.64,59.7607419247186
17,0.4,0.2,0.4,0.0,57.26,59.19,3.23,48.01267641856305
18,0.45,0.25,0.3,0.0,57.32,52.95,21.73,34.74656093042591
19,0.45,0.15,0.4,0.0,47.05,64.43,-2.75,55.27005743981929
20,0.4,0.2,0.4,0.0,54.49,60.36,5.44,47.4539390871888
21,0.45,0.25,0.3,0.0,60.27,54.78,23.18,36.90395876759121
22,0.35,0.15,0.5,0.0,49.72,63.88,-17.77,64.86646210991772
23,0.35,0.15,0.5,0.0,47.5,63.83,-19.34,66.03841210071197
Target,,,,,50.0,20.0,30.0,
