well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,31.92,-16.6,120.85,176.05373668018416
2,0.5,0.25,0.25,0.0,4.08,122.85,91.21,130.49923002691688
3,0.5,0.2,0.3,0.0,2.03,79.44,52.27,105.16451771976898
4,0.1,0.1,0.8,0.0,68.29,-90.02,19.77,187.32326231433458
5,0.3,0.05,0.65,0.0,8.97,83.83,98.75,130.37382966074483
6,0.5,0.1,0.4,0.0,35.82,2.25,1.84,107.50761080276696
7,0.5,0.15,0.35,0.0,31.77,-102.69,32.4,208.83944225617776
8,0.3,0.15,0.55,0.0,9.55,99.95,57.23,100.72208293330883
9,0.3,0.25,0.45,0.0,84.53,-117.33,111.95,240.90089874497352
10,0.5,0.35,0.15,0.0,82.08,-89.37,36.2,188.205758340248
11,0.5,0.3,0.2,0.0,81.1,117.02,-7.92,24.941709999261178
12,0.5,0.2,0.3,0.0,35.77,35.78,50.64,96.32595314533681
13,0.35,0.05,0.6,0.0,54.39,109.62,14.3,42.57820977647283
14,0.35,0.05,0.6,0.0,90.57,-55.27,-122.27,192.00657106819278
15,0.5,0.2,0.3,0.0,59.17,70.01,-36.98,52.89879081249933
16,0.55,0.2,0.25,0.0,82.38,3.54,-117.49,147.08671091276258
17,0.55,0.2,0.25,0.0,9.02,88.77,-40.99,90.483828654047
18,0.5,0.2,0.3,0.0,35.76,-88.86,-82.82,207.77309516129
19,0.5,0.2,0.3,0.0,89.59,-86.75,69.28,195.02635159730426
20,0.5,0.2,0.3,0.0,58.93,-76.06,11.12,174.14498507043058
21,0.5,0.2,0.3,0.0,97.64,45.05,30.32,59.79415523580112
22,0.5,0.2,0.3,0.0,69.11,56.17,-0.26,44.13617148221606
23,0.55,0.15,0.3,0.0,56.3,73.71,40.07,58.419163572465635
Target,,,,,90.61755961038587,94.6557698878141,-2.3171307835811206,
