well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,37.01,75.6,-53.46,101.12194121083715
2,0.5,0.25,0.25,0.0,61.06,55.01,27.76,36.77979718984707
3,0.5,0.2,0.3,0.0,56.11,60.46,19.47,42.25036267027905
4,0.1,0.1,0.8,0.0,41.91,69.44,-74.77,116.13434457404097
5,0.3,0.05,0.65,0.0,37.54,74.5,-44.89,93.45850371547094
6,0.5,0.25,0.25,0.0,57.17,55.31,28.04,36.08533748029104
7,0.25,0.1,0.65,0.0,46.5,68.99,-41.35,86.62254213530107
8,0.3,0.1,0.6,0.0,42.1,70.11,-31.61,79.80760835440891
9,0.5,0.25,0.25,0.0,61.54,55.43,32.15,37.31954126438241
10,0.35,0.15,0.5,0.0,48.15,63.18,-16.41,63.418615122395444
11,0.25,0.05,0.7,0.0,43.03,72.45,-55.57,100.61303588481317
12,0.5,0.25,0.25,0.0,63.16,58.98,32.03,41.19037898571348
13,0.45,0.2,0.35,0.0,55.14,60.24,14.16,43.55231669081204
14,0.2,0.1,0.7,0.0,44.6,69.22,-49.2,93.4001292255746
15,0.5,0.25,0.25,0.0,59.55,55.74,26.21,37.18562032472061
16,0.3,0.1,0.6,0.0,49.59,69.17,-37.19,83.25767608107417
17,0.45,0.2,0.35,0.0,55.9,53.03,11.13,38.49573841300708
18,0.5,0.25,0.25,0.0,60.57,57.77,25.83,39.44494472204184
19,0.45,0.15,0.4,0.0,50.27,67.06,-0.42,56.038812775391015
20,0.2,0.15,0.65,0.0,46.99,68.03,-42.22,86.7841051176555
21,0.5,0.25,0.25,0.0,58.26,54.18,27.7,35.24174449602531
22,0.4,0.15,0.45,0.0,49.28,66.94,-8.85,60.93423104047634
23,0.3,0.15,0.55,0.0,47.67,62.8,-24.72,69.50313857872194
Target,,,,,50.0,20.0,30.0,
