group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,179.708,10.704,2.802,9.9,3.533,6,36
1,RGB,G,166.894,8.088,3.506,5.005,1.428,6,36
1,RGB,B,121.16,8.404,3.081,7.219,2.343,6,36
1,LAB,L,68.306,3.697,1.591,2.029,1.276,6,36
1,LAB,A,-2.414,3.022,0.534,3.187,5.966,6,36
1,LAB,B,25.092,1.874,0.718,1.627,2.267,6,36
1,HSV,H,47.711,6.137,0.787,6.527,8.289,6,36
1,HSV,S,32.537,2.555,0.982,2.231,2.271,6,36
1,HSV,V,70.792,3.926,0.657,4.084,6.213,6,36
2,RGB,R,214.577,15.016,5.523,13.084,2.369,6,36
2,RGB,G,117.953,12.851,4.163,12.239,2.94,6,36
2,RGB,B,137.302,16.227,4.399,15.917,3.618,6,36
2,LAB,L,61.368,4.713,1.554,4.43,2.851,6,36
2,LAB,A,40.014,3.491,0.872,3.574,4.099,6,36
2,LAB,B,6.77,3.013,0.702,2.978,4.243,6,36
2,HSV,H,348.099,3.382,1.197,3.056,2.553,6,36
2,HSV,S,45.718,3.897,1.756,3.258,1.855,6,36
2,HSV,V,84.563,5.892,2.172,5.133,2.363,6,36
3,RGB,R,216.518,12.849,1.857,13.314,7.171,6,36
3,RGB,G,199.828,8.553,2.508,7.552,3.011,6,36
3,RGB,B,88.527,9.672,1.391,10.204,7.334,6,36
3,LAB,L,79.931,3.413,0.94,3.05,3.245,6,36
3,LAB,A,-7.778,2.076,0.534,2.113,3.957,6,36
3,LAB,B,56.306,1.748,0.832,1.095,1.316,6,36
3,HSV,H,52.385,2.494,0.469,2.58,5.499,6,36
3,HSV,S,59.209,2.312,0.429,2.405,5.602,6,36
3,HSV,V,85.063,5.146,0.659,5.385,8.174,6,36
4,RGB,R,170.378,53.719,3.901,57.402,14.715,6,36
4,RGB,G,220.362,13.155,4.309,11.007,2.554,6,36
4,RGB,B,226.741,25.803,3.739,26.858,7.183,6,36
4,LAB,L,85.334,7.322,2.51,6.479,2.581,6,36
4,LAB,A,-13.437,13.97,0.811,15.06,18.57,6,36
4,LAB,B,-7.676,12.03,0.773,12.958,16.761,6,36
4,HSV,H,181.612,72.03,1.459,77.756,53.286,6,36
4,HSV,S,32.344,15.433,2.073,16.259,7.843,6,36
4,HSV,V,92.23,8.264,2.421,7.803,3.224,6,36
