well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,195.461,0.547,172.982,0.534,129.888,0.661,71.709,0.094,1.829,0.271,25.308,0.28,39.864,0.364,33.933,0.458,76.395,0.256
1,1,6,174.815,0.686,163.659,0.78,118.619,0.806,67.272,0.296,-2.833,0.287,25.038,0.057,47.812,0.226,32.381,0.251,68.454,0.271
2,1,6,177.236,0.447,159.214,1.649,111.124,2.258,66.292,0.293,-1.015,0.685,27.143,0.645,44.704,0.879,36.193,0.847,69.283,0.384
3,1,6,183.384,14.59,169.286,17.431,128.045,13.204,67.932,8.407,-1.613,1.488,22.142,2.839,46.13,2.61,30.821,3.833,74.243,2.739
4,1,6,181.598,0.215,170.354,0.276,123.192,0.77,69.684,0.174,-2.988,0.183,25.384,0.169,48.227,0.276,31.832,0.321,71.256,0.189
5,1,6,165.754,0.327,165.872,0.365,116.093,0.785,66.947,0.281,-7.863,0.292,25.535,0.315,59.528,0.369,30.064,0.185,65.123,0.106
6,2,6,212.438,0.525,104.472,0.984,127.364,0.886,57.893,0.229,44.767,0.487,7.149,0.121,347.991,0.021,50.577,0.479,83.216,0.081
7,2,6,210.586,20.854,126.818,14.253,144.486,16.427,65.313,4.647,36.753,2.467,6.222,3.168,347.796,4.24,43.257,5.486,85.0,8.127
8,2,6,220.979,0.353,119.062,0.375,139.96,0.319,62.01,0.088,41.777,0.184,6.614,0.065,348.0,0.0,45.922,0.287,86.525,0.225
9,2,6,212.821,0.152,109.722,1.41,121.872,1.016,58.691,0.228,41.547,0.389,11.794,0.264,352.405,0.221,48.529,0.355,83.507,0.153
10,2,6,195.441,0.496,110.578,0.873,125.692,0.606,56.598,0.123,35.0,0.262,6.369,0.12,349.428,0.258,43.65,0.486,76.667,0.111
11,2,6,235.198,10.756,137.066,7.084,164.438,7.14,67.704,4.008,40.242,1.443,2.474,0.473,342.975,2.44,42.372,3.445,92.463,4.338
12,3,6,219.616,0.247,203.396,0.27,94.374,0.65,81.274,0.141,-7.947,0.24,55.134,0.588,52.412,0.192,56.804,0.198,85.984,0.09
13,3,6,201.48,0.514,193.039,0.356,78.939,0.327,76.852,0.074,-10.606,0.485,56.953,0.249,56.119,0.156,60.716,0.144,79.104,0.164
14,3,6,204.433,0.292,192.253,0.51,78.538,1.043,76.889,0.095,-9.442,0.39,56.974,0.077,54.174,0.219,61.691,0.33,80.189,0.075
15,3,6,233.368,9.567,210.179,13.0,102.121,5.292,83.707,5.064,-5.933,1.692,54.685,3.703,49.645,1.846,56.361,1.584,92.328,3.364
16,3,6,229.977,0.246,205.605,0.45,96.008,0.373,82.8,0.071,-4.927,0.22,56.9,0.23,49.452,0.241,58.139,0.163,90.169,0.145
17,3,6,210.237,0.273,194.497,0.464,81.185,0.663,78.062,0.195,-7.814,0.177,57.187,0.145,52.506,0.161,61.541,0.157,82.607,0.114
18,4,6,121.209,0.887,201.266,0.511,190.953,1.058,75.94,0.344,-27.026,0.125,-2.225,0.216,172.077,0.112,39.96,0.219,78.943,0.2
19,4,6,155.724,0.402,230.984,0.295,219.186,0.334,85.325,3.366,-25.079,1.693,-1.791,0.251,170.063,1.613,34.363,2.765,87.884,4.158
20,4,6,145.027,1.073,220.817,0.437,249.896,1.086,84.339,0.071,-15.808,0.406,-21.626,0.496,197.237,0.312,41.93,0.24,98.135,0.238
21,4,6,117.677,0.345,215.243,0.344,244.732,1.552,81.543,0.212,-21.15,0.624,-22.842,1.173,193.869,0.311,51.861,0.101,96.042,0.153
22,4,6,254.7,0.012,229.72,2.405,254.36,0.309,94.103,0.501,12.126,1.06,-8.601,0.653,299.845,0.153,8.704,0.562,99.948,0.015
23,4,6,227.931,20.687,224.141,21.863,201.317,18.095,90.756,10.565,-3.682,0.957,11.027,1.849,56.584,6.254,17.244,8.552,92.429,9.761
