well_index,group_id,R_frac_pred,Y_frac_pred,B_frac_pred
0,1,0.46296665718173247,0.2689907837638112,0.26804255905445645
1,1,0.4399645685507486,0.3592160215984539,0.20081940985079755
2,1,0.49686188264524034,0.28433763495255365,0.21880048240220595
3,1,0.42329501187466945,0.34033205553507867,0.23637293259025183
4,1,0.44078888100219366,0.361943491915133,0.1972676270826735
5,1,0.41053244783503634,0.4693353177064474,0.1201322344585163
6,2,0.4545327029609561,0.0,0.5454672970390438
7,2,0.42540440208055474,0.0,0.5745955979194453
8,2,0.4453376141695644,0.0,0.5546623858304355
9,2,0.47538220540572096,0.0,0.524617794594279
10,2,0.4449751330123346,0.0,0.5550248669876654
11,2,0.4117058545974369,0.0,0.588294145402563
12,3,0.6954217793586233,0.29527716200654264,0.009301058634834155
13,3,0.6659424591405115,0.33405754085948847,0.0
14,3,0.694637867010184,0.30536213298981596,0.0
15,3,0.697552397356843,0.23947601485559025,0.06297158778756672
16,3,0.718427159952286,0.22062596466050508,0.06094687538720888
17,3,0.7191737410552471,0.2808262589447528,0.0
18,4,0.0,0.849394917583178,0.15060508241682197
19,4,0.0,0.835141662567846,0.16485833743215395
20,4,0.0,0.6681490493982464,0.3318509506017536
21,4,0.0,0.6861050838924132,0.31389491610758685
22,4,0.1629950740960649,0.36231508059627604,0.4746898453076592
23,4,0.2535118734638612,0.45012083034446726,0.29636729619167146
