well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,209.845,4.068,176.116,2.016,118.222,7.211,73.695,0.069,3.853,1.618,34.58,2.544,39.329,0.672,44.107,1.189,81.693,0.118
1,1,6,219.381,0.297,188.07,0.159,114.377,0.327,77.558,0.03,1.649,0.096,41.097,0.258,42.382,0.181,47.893,0.286,86.025,0.06
2,1,6,200.489,2.285,127.729,1.056,21.765,0.35,59.727,0.045,20.272,0.213,61.534,0.123,35.902,0.027,89.105,0.178,78.325,0.056
3,1,6,198.094,0.2,124.702,0.175,13.072,0.464,58.721,0.092,21.393,0.264,62.474,0.081,35.858,0.084,93.437,0.121,77.651,0.084
4,1,6,188.257,0.434,119.818,0.335,14.628,1.263,56.329,0.079,19.475,0.253,59.956,0.109,36.157,0.123,92.072,0.419,73.81,0.215
5,1,6,202.311,0.32,131.502,0.197,23.654,0.387,60.912,0.033,19.843,0.062,61.976,0.074,35.994,0.03,88.387,0.196,79.407,0.067
6,2,6,245.466,1.786,68.492,1.307,15.055,0.632,55.777,0.05,64.52,0.025,63.9,0.187,14.191,0.27,94.099,0.367,95.968,0.077
7,2,6,242.86,0.226,72.394,0.142,17.45,0.39,55.871,0.03,62.778,0.09,63.082,0.076,14.078,0.1,92.688,0.133,95.302,0.035
8,2,6,240.8,2.44,48.264,2.061,3.181,0.482,52.923,0.078,69.833,0.161,64.652,0.111,11.581,0.082,98.808,0.116,94.713,0.076
9,2,6,252.646,0.111,56.521,0.125,13.003,0.154,55.909,0.036,70.959,0.042,65.053,0.049,10.919,0.187,94.835,0.102,99.061,0.047
10,2,6,251.938,0.102,66.262,0.137,19.486,0.145,56.798,0.042,68.134,0.127,63.953,0.103,11.972,0.023,92.344,0.069,98.699,0.049
11,2,6,248.598,3.407,69.318,3.115,19.732,0.349,56.563,0.294,65.763,2.382,63.341,0.571,13.169,0.933,91.957,0.301,97.263,1.212
12,3,6,210.506,1.343,195.273,0.7,31.668,0.226,77.964,0.133,-10.254,0.528,74.385,0.096,54.658,0.38,85.188,0.241,82.885,0.241
13,3,6,232.838,0.755,204.511,0.45,43.47,0.411,82.387,0.055,-5.067,0.063,76.071,0.052,50.483,0.254,81.317,0.059,91.541,0.136
14,3,6,237.512,2.48,199.287,0.715,37.916,1.728,81.5,0.042,-0.368,0.136,76.752,0.188,48.0,0.003,84.198,0.383,93.531,0.037
15,3,6,238.304,0.202,209.408,0.205,54.899,0.634,84.188,0.051,-5.105,0.329,74.111,0.04,50.831,0.123,76.899,0.168,93.479,0.062
16,3,6,224.745,0.072,180.558,0.254,23.47,1.218,75.486,0.047,3.019,0.239,74.556,0.097,46.302,0.158,89.291,0.255,88.085,0.102
17,3,6,241.92,2.062,192.278,0.601,29.922,2.98,80.144,0.031,4.986,0.355,77.989,0.095,45.991,0.043,88.013,0.157,95.234,0.115
18,4,6,116.082,3.293,195.468,0.967,181.524,1.303,73.733,0.083,-26.991,0.588,-0.402,0.836,169.34,0.602,39.695,0.407,76.478,0.105
19,4,6,101.0,0.444,198.513,0.169,177.526,0.807,74.085,0.092,-34.258,0.418,2.368,0.721,166.874,0.725,49.062,0.246,77.83,0.16
20,4,6,80.45,0.69,167.092,0.268,132.281,1.231,62.557,0.063,-34.723,0.212,10.177,0.261,155.5,0.23,51.862,0.213,65.468,0.024
21,4,6,105.78,3.288,184.435,0.537,160.162,2.411,69.512,0.04,-29.971,0.043,5.478,0.118,160.934,0.274,41.965,0.148,72.25,0.087
22,4,6,110.313,4.58,177.977,1.202,152.054,1.182,67.714,0.146,-27.327,1.796,6.595,0.459,157.051,1.714,37.885,2.694,69.768,0.448
23,4,6,107.673,4.06,174.767,0.966,145.995,0.797,66.368,0.037,-28.374,0.498,8.112,0.123,154.844,0.315,39.526,0.09,68.658,0.054
