well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,31.92,-16.6,120.85,71.17532329729957
2,0.5,0.25,0.25,0.0,4.08,122.85,91.21,167.3303204984909
3,0.5,0.2,0.3,0.0,2.03,79.44,52.27,122.39743682391651
4,0.1,0.1,0.8,0.0,68.29,-90.02,19.77,68.47740710376185
5,0.3,0.05,0.65,0.0,8.97,83.83,98.75,132.1802103781247
6,0.2,0.0,0.8,0.0,74.75,107.13,-35.77,169.85672480839744
7,0.0,0.05,0.95,0.0,35.82,2.25,1.84,64.37771057416107
8,0.0,0.25,0.75,0.0,31.77,-102.69,32.4,72.84973942729954
9,0.05,0.1,0.85,0.0,9.55,99.95,57.23,139.55474892127216
10,0.1,0.2,0.7,0.0,51.33,45.17,7.51,92.19710612663287
11,0.05,0.0,0.95,0.0,84.53,-117.33,111.95,108.18299307851296
12,0.0,0.15,0.85,0.0,82.08,-89.37,36.2,67.58628272488636
13,0.0,0.35,0.65,0.0,81.1,117.02,-7.92,167.1815244546994
14,0.1,0.0,0.9,0.0,80.94,-122.68,-63.5,150.49106604236175
15,0.0,0.1,0.9,0.0,35.77,35.78,50.64,71.22738056369053
16,0.0,0.2,0.8,0.0,54.39,109.62,14.3,149.63881867750897
17,0.1,0.15,0.75,0.0,90.57,-55.27,-122.27,182.42942640174226
18,0.25,0.05,0.7,0.0,21.86,-52.47,-126.22,182.3405252752561
19,0.05,0.25,0.7,0.0,59.17,70.01,-36.98,138.89586714901688
20,0.05,0.05,0.9,0.0,82.38,3.54,-117.49,178.8636902592154
21,0.35,0.0,0.65,0.0,9.02,88.77,-40.99,159.8689725686656
22,0.05,0.15,0.8,0.0,72.35,31.19,-10.73,95.50508776301604
23,0.15,0.2,0.65,0.0,35.76,-88.86,-82.82,147.1861512106362
Target,,,,,46.546465565477114,-34.56366305443599,53.554002059069376,
