well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,1.0,0.0,0.0,0.0,134.83,95.07,73.2,18.02802563885613
2,0.0,1.0,0.0,0.0,215.52,15.6,15.6,12.473171894051156
3,0.0,0.0,1.0,0.0,20.91,86.62,60.11,16.664464444255085
4,0.5,0.5,0.0,0.0,254.91,2.06,96.99,4.033632905568198
5,0.5,0.0,0.5,0.0,299.68,21.23,18.18,12.21114063303463
6,0.45,0.45,0.1,0.0,155.5,29.12,61.19,5.783601982664452
7,0.45,0.1,0.45,0.0,50.22,29.21,36.64,9.426751474387759
8,0.1,0.8,0.1,0.0,164.19,78.52,19.97,18.612514716106443
9,0.45,0.45,0.1,0.0,218.72,17.05,6.51,14.314420977795166
10,0.4,0.45,0.15,0.0,341.6,96.56,80.84,18.319054744403175
11,0.5,0.45,0.05,0.0,109.66,9.77,68.42,2.055900181660219
12,0.55,0.45,0.0,0.0,12.38,90.93,25.88,19.99657815974265
13,0.45,0.45,0.1,0.0,238.51,31.17,52.01,7.239788592301486
14,0.45,0.45,0.1,0.0,196.82,18.49,96.96,4.812667024462297
15,0.45,0.4,0.15,0.0,215.24,92.19,8.85,22.13256988351475
16,0.4,0.55,0.05,0.0,70.55,4.52,32.53,8.917330350263073
17,0.4,0.55,0.05,0.0,139.92,27.13,82.87,4.594622337973975
18,0.45,0.4,0.15,0.0,50.73,80.22,7.46,20.492498784877842
19,0.4,0.4,0.2,0.0,355.28,77.22,19.87,18.41755302183222
20,0.45,0.4,0.15,0.0,1.99,81.55,70.69,15.354003609325108
21,0.45,0.4,0.15,0.0,129.05,11.59,86.31,2.328156684392812
22,0.4,0.4,0.2,0.0,224.39,33.09,6.36,15.212633206220328
23,0.45,0.4,0.15,0.0,111.95,32.52,72.96,5.585504443896733
Target,,,,,288.95821774511387,5.050400364600649,77.0540598202816,
