well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,39.48,81.09,248.85,179.8714830940226
2,0.5,0.25,0.25,0.0,59.64,55.11,211.83,136.76646692198128
3,0.5,0.2,0.3,0.0,60.39,65.25,91.35,47.79604563465617
4,0.1,0.1,0.8,0.0,40.01,69.31,227.95,156.26903353158758
5,0.3,0.05,0.65,0.0,40.87,74.93,215.55,146.5389356672277
6,0.5,0.15,0.35,0.0,53.28,67.2,206.39,134.95429367731037
7,0.35,0.2,0.45,0.0,54.12,59.6,237.62,162.57399225168476
8,0.65,0.15,0.2,0.0,53.45,66.8,198.01,126.99829000138699
9,0.55,0.15,0.3,0.0,52.45,66.42,23.01,73.54007484073982
10,0.45,0.25,0.3,0.0,60.56,55.39,39.14,55.07955961923081
11,0.35,0.35,0.3,0.0,64.25,44.96,139.12,65.73194672753453
12,0.2,0.5,0.3,0.0,71.74,32.01,127.74,53.81406911443916
13,0.25,0.4,0.35,0.0,65.48,39.23,16.65,67.9915332930984
14,0.25,0.5,0.25,0.0,71.97,25.46,196.91,119.0832101238054
15,0.1,0.55,0.35,0.0,65.12,19.99,25.86,56.2104179819287
16,0.05,0.65,0.3,0.0,75.32,10.37,126.53,53.8376543204753
17,0.25,0.45,0.3,0.0,60.87,34.67,136.31,59.1929009857663
18,0.0,0.65,0.35,0.0,74.77,17.83,42.66,44.8663010956834
19,0.1,0.6,0.3,0.0,71.54,19.95,124.78,49.69254912900672
20,0.0,0.75,0.25,0.0,81.56,3.51,207.63,132.50205273741102
21,0.0,0.6,0.4,0.0,73.26,18.29,95.03,27.748670339639503
22,0.9,0.0,0.1,0.0,51.85,79.88,181.69,118.02648582311726
23,0.05,0.95,0.0,0.0,96.34,-14.17,142.06,84.65728055613701
Target,,,,,50.0,20.0,80.0,
