well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,37.01,75.6,-53.46,101.12194121083715
2,0.5,0.25,0.25,0.0,61.06,55.01,27.76,36.77979718984707
3,0.5,0.2,0.3,0.0,56.11,60.46,19.47,42.25036267027905
4,0.1,0.1,0.8,0.0,41.91,69.44,-74.77,116.13434457404097
5,0.3,0.05,0.65,0.0,37.54,74.5,-44.89,93.45850371547094
6,0.45,0.25,0.3,0.0,60.45,54.19,23.95,36.260546776848905
7,0.4,0.1,0.5,0.0,44.2,70.21,-14.11,67.08430137435906
8,0.3,0.05,0.65,0.0,41.75,75.77,-45.95,94.58551185876772
9,0.45,0.25,0.3,0.0,57.72,58.05,24.06,39.277268107598566
10,0.38,0.14,0.48,0.0,49.69,65.89,-8.98,60.21753303950198
11,0.35,0.1,0.55,0.0,45.85,69.1,-25.75,74.40466858578445
12,0.45,0.2,0.35,0.0,55.88,59.66,11.95,43.96699137446472
13,0.4,0.2,0.4,0.0,53.46,59.43,0.44,49.39800324663326
14,0.45,0.2,0.35,0.0,57.72,55.28,10.22,41.18059471430663
15,0.45,0.25,0.3,0.0,57.21,54.13,18.95,36.59342929335986
16,0.35,0.15,0.5,0.0,48.23,66.89,-17.6,66.83843871833312
17,0.35,0.15,0.5,0.0,48.72,62.85,-15.97,62.85073733724365
18,0.43,0.29,0.29,0.0,63.28,47.98,20.61,32.3620133670478
19,0.35,0.15,0.5,0.0,51.51,66.92,-16.12,65.80511274100695
20,0.35,0.15,0.5,0.0,51.03,64.97,-16.92,65.00059660948085
21,0.43,0.29,0.29,0.0,62.53,49.69,23.81,32.81195292000013
22,0.4,0.15,0.45,0.0,52.61,70.5,-9.06,63.900706533695384
23,0.45,0.2,0.35,0.0,52.73,64.08,12.55,47.48363412951089
Target,,,,,50.0,20.0,30.0,
