well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,31.92,-16.6,120.85,96.4483851037153
2,0.5,0.25,0.25,0.0,4.08,122.85,91.21,220.91810332798516
3,0.5,0.2,0.3,0.0,2.03,79.44,52.27,184.2423467171952
4,0.1,0.1,0.8,0.0,68.29,-90.02,19.77,63.35428587696001
5,0.3,0.05,0.65,0.0,8.97,83.83,98.75,184.21556085100661
6,0.0,0.1,0.9,0.0,31.77,-102.69,32.4,78.06738965088795
7,0.35,0.0,0.65,0.0,9.55,99.95,57.23,198.468222932298
8,0.05,0.2,0.75,0.0,51.33,45.17,7.51,148.9650129390551
9,0.0,0.1,0.9,0.0,2.09,-63.5,-36.78,146.09143301798565
10,0.05,0.1,0.85,0.0,64.23,50.64,10.69,149.33135040425316
11,0.1,0.05,0.85,0.0,93.19,14.3,102.95,97.46488845658024
12,0.0,0.1,0.9,0.0,0.7,22.88,70.01,136.93412397109134
13,0.05,0.1,0.85,0.0,35.69,82.08,3.54,186.66271901193338
14,0.1,0.05,0.85,0.0,4.12,-104.99,88.77,90.86210064124175
15,0.0,0.1,0.9,0.0,35.76,-88.86,-82.82,170.33395351381463
16,0.05,0.1,0.85,0.0,89.59,-86.75,69.28,11.239879835659094
17,0.15,0.05,0.8,0.0,58.93,-76.06,11.12,74.30174599711181
18,0.15,0.1,0.75,0.0,80.61,120.98,45.05,203.85626260166606
19,0.05,0.1,0.85,0.0,62.08,48.23,56.17,133.15166167542557
20,0.15,0.15,0.7,0.0,50.09,15.56,73.71,103.88484689591212
21,0.15,0.1,0.75,0.0,86.6,60.1,-48.39,188.75102097670785
22,0.1,0.1,0.8,0.0,0.27,-117.61,68.91,98.50016653964475
23,0.05,0.2,0.75,0.0,53.81,-8.18,-79.83,177.38528716181804
Target,,,,,90.80462631039904,-79.91590125323535,78.1236759699249,
