well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R',measured_G',measured_B',output
1,0.3,0.0,0.7,0.0,0.19,0.76,0.83,1.0121516807051447
2,0.5,0.25,0.25,0.0,0.82,0.53,0.0,0.18255231947172457
3,0.5,0.2,0.3,0.0,0.78,0.51,0.0,0.21104317058682384
4,0.1,0.1,0.8,0.0,0.01,0.82,0.58,1.0169128467986839
5,0.3,0.05,0.65,0.0,0.32,0.7,0.53,0.7160736344223269
6,0.3,0.35,0.35,0.0,0.68,0.71,0.0,0.2572517354689149
7,0.7,0.25,0.05,0.0,1.0,0.46,0.04,0.21916693217432315
8,0.15,0.85,0.0,0.0,0.97,0.78,0.0,0.19417385054850206
9,0.45,0.55,0.0,0.0,1.0,0.65,0.03,0.13047737942983695
10,0.0,0.95,0.05,0.0,0.91,0.93,0.06,0.2952661589787335
11,0.1,0.75,0.15,0.0,0.85,0.85,0.0,0.24010201140472928
12,0.0,0.5,0.5,0.0,0.29,0.9,0.04,0.6655213843748873
13,0.55,0.0,0.45,0.0,0.6,0.55,0.55,0.5311625100961205
14,0.4,0.5,0.1,0.0,0.93,0.68,0.0,0.12607085762365325
15,0.55,0.4,0.05,0.0,1.0,0.55,0.03,0.16280972458201487
16,0.35,0.65,0.0,0.0,0.97,0.65,0.0,0.1378337181834158
17,0.35,0.6,0.05,0.0,0.95,0.69,0.0,0.1346710771281693
18,0.95,0.0,0.05,0.0,1.0,0.34,0.31,0.3682521115423036
19,0.45,0.5,0.05,0.0,0.95,0.64,0.0,0.12621357794095758
20,0.45,0.4,0.15,0.0,0.74,0.57,0.0,0.21599758142134157
21,0.35,0.55,0.1,0.0,0.86,0.63,0.0,0.12466991277255315
22,0.55,0.45,0.0,0.0,0.95,0.55,0.02,0.1473435413186342
23,0.3,0.55,0.15,0.0,0.71,0.69,0.0,0.2306483404204099
Target,,,,,0.9010664488017429,0.6447494553376906,0.11852941176470588,
